#alpha	OFD	OFD_CI	HashPipe	NormalHash
0.1	0.875092	0.875573	0.88922	0.879773
0.2	0.845506	0.846225	0.873958	0.856688
0.3	0.806021	0.807063	0.851673	0.824081
0.4	0.755993	0.75859	0.822238	0.782226
0.5	0.694124	0.697845	0.782501	0.730082
0.6	0.619439	0.623543	0.727884	0.667503
0.7	0.532155	0.537075	0.657995	0.587011
0.8	0.435545	0.440313	0.571651	0.493223
0.9	0.335344	0.340002	0.473755	0.397068
1.0	0.24135	0.245598	0.357091	0.301665
1.1	0.162414	0.166081	0.252063	0.212885
1.2	0.1025	0.105354	0.16347	0.142795
1.3	0.062073	0.064151	0.101079	0.091335
1.4	0.037174	0.038366	0.06081	0.057981
1.5	0.02253	0.023218	0.0329	0.03857
1.6	0.015732	0.016061	0.019708	0.02733
1.7	0.012697	0.012835	0.014048	0.018397
1.8	0.011272	0.011326	0.011536	0.015763
1.9	0.01048	0.010552	0.01052	0.013611
2.0	0.010048	0.010059	0.009992	0.011853
